country,code,val
Afghanistan,AFG,2.0698219953
Albania,ALB,28.3211678832
Algeria,DZA,0.626432776
American Samoa,ASM,90
Andorra,AND,34.0425531915
Angola,AGO,46.9078366889
Antigua and Barbuda,ATG,22.7272727273
Argentina,ARG,10.7429047499
Armenia,ARM,9.1994382022
Aruba,ABW,
Australia,AUS,19.4342840035
Austria,AUT,47.1551619556
Azerbaijan,AZE,11.3289760349
"Bahamas, The",BHS,51.4485514486
Bahrain,BHR,1.3157894737
Bangladesh,BGD,11.0778213106
Barbados,BRB,18.6046511628
Belarus,BLR,42.5500443743
Belgium,BEL,22.3910171731
Belize,BLZ,61.0697062692
Benin,BEN,41.23124209
Bermuda,BMU,20
Bhutan,BTN,84.6314144308
Bolivia,BOL,52.7979322441
Bosnia and Herzegovina,BIH,42.8431372549
Botswana,BWA,20.0289379422
Brazil,BRA,61.4134302352
Brunei Darussalam,BRN,72.1062618596
Bulgaria,BGR,36.1735445836
Burkina Faso,BFA,20.6469298246
Burundi,BDI,6.6978193146
Cambodia,KHM,57.1833220032
Cameroon,CMR,42.1315394216
Canada,CAN,34.1049825645
Cape Verde,CPV,21.0918114144
Cayman Islands,CYM,54.1666666667
Central African Republic,CAF,36.2852740056
Chad,TCD,9.1526365947
Channel Islands,CHI,
Chile,CHL,21.8296504512
China,CHN,22.1775870868
Colombia,COL,54.5281658405
Comoros,COM,1.6129032258
"Congo, Dem. Rep.",COD,67.9892371143
"Congo, Rep.",COG,65.6251830161
Costa Rica,CRI,51.0184097141
Cote d'Ivoire,CIV,32.713836478
Croatia,HRV,34.3102215868
Cuba,CUB,26.9635475385
Curacao,CUW,
Cyprus,CYP,18.7229437229
Czech Republic,CZE,34.3948220065
Denmark,DNK,12.8211171341
Djibouti,DJI,0.2588438309
Dominica,DMA,60
Dominican Republic,DOM,40.8112582781
Ecuador,ECU,39.720566919
"Egypt, Arab Rep.",EGY,0.0703199558
El Salvador,SLV,13.8513513514
Equatorial Guinea,GNQ,57.9679144385
Eritrea,ERI,15.1683168317
Estonia,EST,52.3000707714
Ethiopia,ETH,12.296
Faeroe Islands,FRO,
Fiji,FJI,55.5008210181
Finland,FIN,72.9088515959
France,FRA,29.1312127963
French Polynesia,PYF,42.349726776
